Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Issue_Price,Listing_Gains_Profit
189.8,48.44,106.02,11.08,165,1
328.7,59.39,51.95,3.79,145,0
56.25,0.99,16.6,6.25,75,1
199.8,1.12,3.65,0.62,165,0
0.0,0.52,1.52,2.26,75,0
150.0,0.26,5.07,3.0,220,0
1500.0,1.35,1.21,0.01,468,0
43.08,0.43,5.55,0.46,45,0
735.4,1.43,4.29,0.28,240,0
103.0,49.34,124.53,18.55,450,1
45.0,1.02,30.5,7.26,90,1
142.0,96.06,104.57,10.26,252,0
330.0,47.08,39.15,9.8,66,1
128.38,93.86,272.88,19.45,80,1
700.0,52.61,39.39,4.56,258,0
116.6,8.57,45.35,10.53,110,0
168.01,144.43,107.73,21.69,310,0
385.29,1.38,6.13,1.39,260,0
53.65,21.97,21.6,13.51,145,1
145.0,0.78,2.99,0.66,135,0
77.44,35.43,51.48,8.43,128,1
405.0,2.54,0.22,0.16,54,0
63.75,0.03,5.08,2.74,75,0
107.9,7.97,10.52,2.81,130,1
1079.0,9.03,3.39,3.12,26,0
1650.0,1.77,1.15,0.61,102,0
200.0,1.48,1.2,0.4,75,0
71.76,4.28,48.85,10.03,240,1
270.0,8.98,3.39,1.0,166,1
53.1,0.01,12.46,7.41,118,1
1653.97,20.38,18.26,2.81,985,1
297.0,20.19,53.49,6.62,660,0
68.75,1.27,10.91,6.62,110,0
500.0,13.2,85.7,9.15,46,1
357.0,1.44,1.3,1.81,29,0
51.5,1.78,23.18,12.59,43,0
147.5,5.91,35.88,11.04,118,0
350.0,25.79,73.4,11.95,175,1
115.0,47.45,101.93,31.74,310,1
900.0,2.09,0.64,0.18,47,0
530.0,4.52,1.45,0.99,450,0
0.0,5.86,28.58,6.19,11,1
105.0,1.71,3.83,2.63,135,0
268.03,27.99,62.48,9.07,355,1
472.6,36.13,100.98,8.55,1310,0
50.2,1.66,40.94,7.45,100,1
225.0,25.52,13.91,3.46,324,0
91.8,0.67,29.19,8.51,102,1
172.41,3.68,0.34,0.38,127,0
